"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2026-05-03,"PL",12,"0.025",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",14,"0.05",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",16,"0.1",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",17,"0.15",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",18,"0.2",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",19,"0.25",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",20,"0.3",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",21,"0.35",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",22,"0.4",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",23,"0.45",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",23,"0.5",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",24,"0.55",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",25,"0.6",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",26,"0.65",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",27,"0.7",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",28,"0.75",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",30,"0.8",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",31,"0.85",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",33,"0.9",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",36,"0.95",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",40,"0.975",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",44,"0.99",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",0,"0.01",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",1,"0.025",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",1,"0.05",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",2,"0.1",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",3,"0.15",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",3,"0.2",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",3,"0.25",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",4,"0.3",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",4,"0.35",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",4,"0.4",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",5,"0.45",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",5,"0.5",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",5,"0.55",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",6,"0.6",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",6,"0.65",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",6,"0.7",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",7,"0.75",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",7,"0.8",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PT",8,"0.85",2026-04-29,"quantile","hospital admissions",2
